EntityID,TemporalPropertyID,TimeStamp,TemporalPropertyValue
1,6,38,40
1,6,39,40
1,6,40,40
1,39,8,7.1
1,39,9,7.1
1,39,10,6.5
1,39,11,6.5
1,39,12,6.5
1,39,13,6.5
1,39,14,6.5
1,39,15,6.5
1,39,16,6.5
1,39,17,6.5
1,39,18,6.5
1,39,19,6.5
1,39,20,6.5
1,39,21,6.5
1,39,22,6.5
1,39,23,6.5
1,39,24,6.5
1,39,25,6.5
1,39,26,6.5
1,39,27,6.5
1,39,28,6.5
1,39,29,6.5
1,39,30,6.5
1,39,31,6
1,39,32,6
1,39,33,6
1,39,34,6.4
1,39,35,6.4
1,39,36,6.4
1,39,37,6.4
1,39,38,6.2
1,39,39,6.2
1,39,40,6.2
1,39,41,6.2
1,39,42,6.2
1,39,43,6.2
1,39,44,6.2
1,39,45,6.2
1,39,46,6.2
1,39,47,6.2
1,39,48,6.2
1,39,49,5.3
1,39,50,5.3
1,39,51,5.3
1,39,52,5.3
1,39,53,5.3
1,39,54,5.3
1,39,55,5.3
1,39,56,5.3
1,39,57,5.3
1,39,58,5.3
1,39,59,6
1,39,60,6
1,39,61,6
1,39,62,6
1,39,63,6.4
1,39,64,6.4
1,39,65,6.4
1,39,66,6.4
1,39,67,6.4
1,40,34,161
1,40,35,161
1,40,36,161
1,40,37,161
1,40,38,161
1,40,39,161
1,40,40,161
1,40,41,161
1,40,42,161
1,40,43,161
1,40,44,161
1,40,45,161
1,40,46,161
1,40,47,161
1,40,48,161
1,40,49,41
1,40,50,41
1,40,51,41
1,40,52,34
1,40,53,34
1,40,54,61
1,40,55,61
1,40,56,61
1,40,57,61
1,40,58,61
1,40,59,51
1,40,60,51
1,40,61,51
1,40,62,51
1,40,63,39
1,40,64,39
1,40,65,39
1,40,66,39
1,40,67,39
1,41,6,240
1,41,7,240
1,41,8,192
1,41,9,192
1,41,10,192
1,41,11,192
1,41,12,192
1,41,13,192
1,41,14,192
1,41,15,192
1,41,16,192
1,41,17,192
1,41,18,192
1,41,19,192
1,41,20,192
1,41,21,192
1,41,22,192
1,41,23,192
1,41,24,192
1,41,25,192
1,41,26,192
1,41,27,192
1,41,28,192
1,41,29,192
1,41,30,192
1,41,31,192
1,41,32,192
1,41,33,192
1,41,34,244
1,41,35,244
1,41,36,244
1,41,37,244
1,41,38,244
1,41,39,244
1,41,40,244
1,41,41,244
1,41,42,244
1,41,43,244
1,41,44,244
1,41,45,244
1,41,46,244
1,41,47,244
1,41,48,244
1,41,49,101
1,41,50,101
1,41,51,101
1,41,52,93
1,41,53,93
1,41,54,129
1,41,55,129
1,41,56,129
1,41,57,129
1,41,58,129
1,41,59,107
1,41,60,107
1,41,61,107
1,41,62,107
1,41,63,93
1,41,64,93
1,41,65,93
1,41,66,93
1,41,67,93
1,42,6,156
1,42,7,156
1,42,8,135
1,42,9,133
1,42,10,110
1,42,11,110
1,42,12,110
1,42,13,110
1,42,14,110
1,42,15,110
1,42,16,110
1,42,17,110
1,42,18,110
1,42,19,110
1,42,20,110
1,42,21,110
1,42,22,110
1,42,23,110
1,42,24,110
1,42,25,110
1,42,26,110
1,42,27,110
1,42,28,110
1,42,29,110
1,42,30,100
1,42,31,100
1,42,32,100
1,42,33,100
1,42,34,100
1,42,35,94
1,42,36,94
1,42,37,94
1,42,38,105
1,42,39,105
1,42,40,105
1,42,41,105
1,42,42,105
1,42,43,105
1,42,44,105
1,42,45,105
1,42,46,105
1,42,47,105
1,42,48,93
1,42,49,85
1,42,50,85
1,42,51,85
1,42,52,96
1,42,53,96
1,42,54,96
1,42,55,96
1,42,56,90
1,42,57,90
1,42,58,90
1,42,59,92
1,42,60,92
1,42,61,92
1,42,62,92
1,42,63,85
1,42,64,85
1,42,65,85
1,42,66,85
1,42,67,85
1,43,6,4
1,43,7,4
1,43,8,4.1
1,43,9,4.1
1,43,10,4.1
1,43,11,4.1
1,43,12,4.1
1,43,13,4.1
1,43,14,4.1
1,43,15,4.1
1,43,16,4.1
1,43,17,4.1
1,43,18,4.1
1,43,19,4.1
1,43,20,4.1
1,43,21,4.1
1,43,22,4.1
1,43,23,4.1
1,43,24,4.1
1,43,25,4.1
1,43,26,4.1
1,43,27,4.1
1,43,28,4.1
1,43,29,4.1
1,43,30,4.1
1,43,31,4.1
1,43,32,4.1
1,43,33,4.1
1,43,34,4.2
1,43,35,4.2
1,43,36,4.2
1,43,37,4.2
1,43,38,4.2
1,43,39,4.2
1,43,40,4.2
1,43,41,4.2
1,43,42,4.2
1,43,43,4.2
1,43,44,4.2
1,43,45,4.2
1,43,46,4.2
1,43,47,4.2
1,43,48,4.2
1,43,49,4.2
1,43,50,4.2
1,43,51,4.2
1,43,52,4.2
1,43,53,4.2
1,43,54,3.2
1,43,55,3.2
1,43,56,3.2
1,43,57,3.2
1,43,58,3.2
1,43,59,3.6
1,43,60,3.6
1,43,61,3.6
1,43,62,3.6
1,43,63,3.6
1,43,64,3.6
1,43,65,3.6
1,43,66,3.6
1,43,67,3.6
1,44,6,0.9
1,44,7,0.9
1,44,8,1
1,44,9,1
1,44,10,1
1,44,11,1
1,44,12,1
1,44,13,1
1,44,14,1
1,44,15,1
1,44,16,1
1,44,17,1
1,44,18,1
1,44,19,1
1,44,20,1
1,44,21,1
1,44,22,1
1,44,23,1
1,44,24,1
1,44,25,1
1,44,26,1
1,44,27,1
1,44,28,1
1,44,29,1
1,44,30,1.2
1,44,31,1.2
1,44,32,1.2
1,44,33,1.2
1,44,34,1.12
1,44,35,1.12
1,44,36,1.12
1,44,37,1.12
1,44,38,1.07
1,44,39,1.07
1,44,40,1.07
1,44,41,1.07
1,44,42,1.07
1,44,43,1.07
1,44,44,1.07
1,44,45,1.07
1,44,46,1.07
1,44,47,1.07
1,44,48,1.64
1,44,49,1.79
1,44,50,1.79
1,44,51,1.79
1,44,52,1.89
1,44,53,1.89
1,44,54,1.9
1,44,55,1.9
1,44,56,1.9
1,44,57,1.9
1,44,58,1.9
1,44,59,1.51
1,44,60,1.51
1,44,61,1.51
1,44,62,1.51
1,44,63,1.48
1,44,64,1.48
1,44,65,1.48
1,44,66,1.48
